,Ingest (hpso_max_mid_band1_Ingest.yml) [Bmax=35000],RCAL (hpso_max_mid_band1_RCal.yml) [Bmax=35000],FastImg (hpso_max_mid_band1_FastImg.yml) [Bmax=35000],ICAL (hpso_max_mid_band1_ICal.yml) [Bmax=35000],DPrepA (hpso_max_mid_band1_DPrepA.yml) [Bmax=35000],DPrepB (hpso_max_mid_band1_DPrepB.yml) [Bmax=35000],DPrepC (hpso_max_mid_band1_DPrepC.yml) [Bmax=35000],Ingest (hpso_4b_Ingest.yml),RCAL (hpso_4b_RCal.yml),PSS (hpso_4b_PSS.yml),FastImg (hpso_4b_FastImg.yml)
-- Parameters --,,,,,,,,,,,
Observation Name,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,max_mid_band1,obs_4b,obs_4b,obs_4b,obs_4b
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1
Frequency Min [GHz],0.75,0.75,0.75,0.75,0.79,0.75,0.75,0.65,0.65,0.65,0.65
Frequency Max [GHz],0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,PSS,FastImg
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True
Ingest rate [M/s],409.1777011038085,409.1777011038085,529.8784230961102,409.1777011038085,398.68421771655755,409.1777011038085,745.6788651900201,9129.632914285714,9129.632914285714,(undefined),9129.632914285714
Averaged rate0 [M/s],287.3768924209925,95.97142381768519,59.60906187506552,95.97142381768519,26.328363641377912,35.545684647592154,418.9688234607966,5545.781883449278,5545.781883449278,(undefined),2733.126902360206
Averaged rate1 [M/s],24.190709357806824,8.078648219312887,5.017750309578817,8.078648219312887,2.2162595863212027,2.9921519402279717,35.2678079052888,466.8308456331266,466.8308456331266,,230.06817972038485
Averaged rate2 [M/s],13.44197893207331,4.489038231885923,2.78819826860496,4.489038231885923,1.2315023187908707,1.6626400965429622,19.597157066843476,259.40249618258287,259.40249618258287,,127.84129555687605
Averaged rate3 [M/s],23.36575038919506,7.803147687095925,4.846633453974679,7.803147687095925,2.1406800241238075,2.8901126596913906,34.06509433437173,450.9108373674171,450.9108373674171,,222.22232429526218
Averaged rate4 [M/s],29.625733335582893,9.893710610850968,6.145108455372631,9.893710610850968,2.7141955424135573,3.664410752474832,43.19156817100361,571.7156095337233,571.7156095337233,,281.75852310008605
Averaged rate5 [M/s],21.71583240514055,7.252146607022484,4.504399733052502,7.252146607022484,1.9895208954385428,2.6860340928256976,31.659667124262366,419.07081993225665,419.07081993225665,,206.53061299962607
Averaged rate6 [M/s],,,,,,,,518.3367566950359,518.3367566950359,,255.4518305945734
Averaged rate7 [M/s],,,,,,,,497.26615696163884,497.26615696163884,,245.06760990387556
Averaged rate8 [M/s],,,,,,,,162.94597253684162,162.94597253684162,,80.3046406316103
Averaged rate9 [M/s],,,,,,,,131.10595510168113,131.10595510168113,,64.61292933597419
Averaged rate10 [M/s],,,,,,,,9.832946632626088,9.832946632626088,,4.845969700198065
Averaged rate11 [M/s],,,,,,,,4.2141199737916475,4.2141199737916475,,2.0768441515012896
Predict rate0 [M/s],(undefined),0.07456316037911347,2.085485870893863,0.07456316037911347,0.048988718218181,0.06444217300828449,23.27604574782203,(undefined),(undefined),(undefined),(undefined)
Predict rate1 [M/s],,0.010994757959131123,0.2633118172533034,0.010994757959131123,0.0061844536639626005,0.008276041687122593,2.9389839921074006,,,,
Predict rate2 [M/s],,0.010996081053736232,0.19507931991669497,0.010996081053736232,0.006120816345700509,0.00826360489644867,2.1774618963159416,,,,
Predict rate3 [M/s],,0.04410598242852881,0.5086353649732405,0.04410598242852881,0.02446877984384473,0.033034943635084274,5.677515722395289,,,,
Predict rate4 [M/s],,0.15144714907557008,1.4631354557847578,0.15144714907557008,0.08617197947158936,0.11633976311615553,14.397189390334537,,,,
Predict rate5 [M/s],,0.2486592040491984,2.252199866526251,0.2486592040491984,0.13264122998115732,0.17907749483585664,15.829833562131183,,,,
Backward rate0 [M/s],(undefined),0.07456316037911347,2.085485870893863,0.07456316037911347,0.048988718218181,0.06444217300828449,23.27604574782203,(undefined),(undefined),(undefined),(undefined)
Backward rate1 [M/s],,0.010994757959131123,0.2633118172533034,0.010994757959131123,0.0061844536639626005,0.008276041687122593,2.9389839921074006,,,,
Backward rate2 [M/s],,0.010996081053736232,0.19507931991669497,0.010996081053736232,0.006120816345700509,0.00826360489644867,2.1774618963159416,,,,
Backward rate3 [M/s],,0.04410598242852881,0.5086353649732405,0.04410598242852881,0.02446877984384473,0.033034943635084274,5.677515722395289,,,,
Backward rate4 [M/s],,0.15144714907557008,1.4631354557847578,0.15144714907557008,0.08617197947158936,0.11633976311615553,14.397189390334537,,,,
Backward rate5 [M/s],,0.2486592040491984,2.252199866526251,0.2486592040491984,0.13264122998115732,0.17907749483585664,15.829833562131183,,,,
-- Kernel Sizes --,,,,,,,,,,,
Delta W earth0 [lambda],1.369939810027911,1.369939810027911,1.369939810027911,1.369939810027911,1.4098307776762335,1.369939810027911,1.369939810027911,1.2614862417340347,1.2614862417340347,(undefined),1.2614862417340347
Delta W earth1 [lambda],3.0823645725627995,3.0823645725627995,3.0823645725627995,3.0823645725627995,3.172119249771525,3.0823645725627995,3.0823645725627995,2.838344043901578,2.838344043901578,,2.838344043901578
Delta W earth2 [lambda],5.479759240111644,5.479759240111644,5.479759240111644,5.479759240111644,5.639323110704934,5.479759240111644,5.479759240111644,5.045944966936139,5.045944966936139,,5.045944966936139
Delta W earth3 [lambda],12.329458290251198,12.329458290251198,12.329458290251198,12.329458290251198,12.6884769990861,12.329458290251198,12.329458290251198,11.353376175606313,11.353376175606313,,11.353376175606313
Delta W earth4 [lambda],34.24849525069777,34.24849525069777,34.24849525069777,34.24849525069777,35.245769441905836,34.24849525069777,34.24849525069777,31.53715604335087,31.53715604335087,,31.53715604335087
Delta W earth5 [lambda],67.12705069136763,67.12705069136763,67.12705069136763,67.12705069136763,69.08170810613544,67.12705069136763,67.12705069136763,61.812825844967705,61.812825844967705,,61.812825844967705
Delta W earth6 [lambda],,,,,,,,152.63983524981822,152.63983524981822,,152.63983524981822
Delta W earth7 [lambda],,,,,,,,283.83440439015783,283.83440439015783,,283.83440439015783
Delta W earth8 [lambda],,,,,,,,408.72154232182726,408.72154232182726,,408.72154232182726
Delta W earth9 [lambda],,,,,,,,610.5593409992729,610.5593409992729,,610.5593409992729
Delta W earth10 [lambda],,,,,,,,852.7646994122075,852.7646994122075,,852.7646994122075
Delta W earth11 [lambda],,,,,,,,1135.3376175606313,1135.3376175606313,,1135.3376175606313
Delta W snapshot0 [lambda],305.739420311596,305.739420311596,0.5097283131408447,305.739420311596,314.64217737814056,305.739420311596,305.739420311596,281.535049536928,281.535049536928,(undefined),0.4693748216838612
Delta W snapshot1 [lambda],458.609130467394,458.609130467394,0.7645924697112669,458.609130467394,471.96326606721084,458.609130467394,458.609130467394,422.30257430539194,422.30257430539194,,0.7040622325257918
Delta W snapshot2 [lambda],611.478840623192,611.478840623192,1.0194566262816893,611.478840623192,629.2843547562811,611.478840623192,611.478840623192,563.070099073856,563.070099073856,,0.9387496433677224
Delta W snapshot3 [lambda],917.218260934788,917.218260934788,1.5291849394225339,917.218260934788,943.9265321344217,917.218260934788,917.218260934788,844.6051486107839,844.6051486107839,,1.4081244650515836
Delta W snapshot4 [lambda],1528.69710155798,1528.69710155798,2.5486415657042234,1528.69710155798,1573.2108868907028,1528.69710155798,1528.69710155798,1407.6752476846398,1407.6752476846398,,2.346874108419306
Delta W snapshot5 [lambda],2140.175942181172,2140.175942181172,3.5680981919859125,2140.175942181172,2202.4952416469837,2140.175942181172,2140.175942181172,1970.7453467584958,1970.7453467584958,,3.2856237517870284
Delta W snapshot6 [lambda],,,,,,,,3096.8855449062075,3096.8855449062075,,5.163123038522473
Delta W snapshot7 [lambda],,,,,,,,4223.0257430539195,4223.0257430539195,,7.040622325257917
Delta W snapshot8 [lambda],,,,,,,,5067.630891664704,5067.630891664704,,8.448746790309501
Delta W snapshot9 [lambda],,,,,,,,6193.771089812415,6193.771089812415,,10.326246077044946
Delta W snapshot10 [lambda],,,,,,,,7319.911287960127,7319.911287960127,,12.20374536378039
Delta W snapshot11 [lambda],,,,,,,,8446.051486107839,8446.051486107839,,14.081244650515835
Delta W max0 [lambda],305.739420311596,305.739420311596,1.369939810027911,305.739420311596,314.64217737814056,305.739420311596,305.739420311596,281.535049536928,281.535049536928,(undefined),1.2614862417340347
Delta W max1 [lambda],458.609130467394,458.609130467394,3.0823645725627995,458.609130467394,471.96326606721084,458.609130467394,458.609130467394,422.30257430539194,422.30257430539194,,2.838344043901578
Delta W max2 [lambda],611.478840623192,611.478840623192,5.479759240111644,611.478840623192,629.2843547562811,611.478840623192,611.478840623192,563.070099073856,563.070099073856,,5.045944966936139
Delta W max3 [lambda],917.218260934788,917.218260934788,12.329458290251198,917.218260934788,943.9265321344217,917.218260934788,917.218260934788,844.6051486107839,844.6051486107839,,11.353376175606313
Delta W max4 [lambda],1528.69710155798,1528.69710155798,34.24849525069777,1528.69710155798,1573.2108868907028,1528.69710155798,1528.69710155798,1407.6752476846398,1407.6752476846398,,31.53715604335087
Delta W max5 [lambda],2140.175942181172,2140.175942181172,67.12705069136763,2140.175942181172,2202.4952416469837,2140.175942181172,2140.175942181172,1970.7453467584958,1970.7453467584958,,61.812825844967705
Delta W max6 [lambda],,,,,,,,3096.8855449062075,3096.8855449062075,,152.63983524981822
Delta W max7 [lambda],,,,,,,,4223.0257430539195,4223.0257430539195,,283.83440439015783
Delta W max8 [lambda],,,,,,,,5067.630891664704,5067.630891664704,,408.72154232182726
Delta W max9 [lambda],,,,,,,,6193.771089812415,6193.771089812415,,610.5593409992729
Delta W max10 [lambda],,,,,,,,7319.911287960127,7319.911287960127,,852.7646994122075
Delta W max11 [lambda],,,,,,,,8446.051486107839,8446.051486107839,,1135.3376175606313
Delta W stack [lambda],(undefined),836.9470045875457,67.1270439541301,836.9468657644871,1117.6761967942355,1130.5460333438284,1141.8476081636304,(undefined),(undefined),(undefined),(undefined)
Delta W theory [lambda],(undefined),882.6689695213471,188.70596859434042,882.6689695213471,1318.7122215786785,1182.045394202046,188.70596859434042,(undefined),(undefined),(undefined),(undefined)
-- Kernel Sizes --,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),3.6175819411159043,0.19817679959798246,3.6175819411159043,2.7335446465845523,2.9044753373923915,11.548974561196653,(undefined),(undefined),(undefined),(undefined)
W kernel support pred1 [uv-pixels],,4.9083245816747185,0.3641955011513907,4.9083245816747185,3.708222889609272,3.9402383618733556,15.687912974016948,,,,
W kernel support pred2 [uv-pixels],,6.095551324851101,0.560902612177335,6.095551324851101,4.604498531829768,4.892735388814615,19.501573605240477,,,,
W kernel support pred3 [uv-pixels],,7.721931173091222,1.0311304777157906,7.7219302076502885,6.248473414030405,6.639946487722098,26.513938851003342,,,,
W kernel support pred4 [uv-pixels],,7.721931173091222,2.2215911661740946,7.7219302076502885,7.096727667038143,7.77324895455973,31.3086586396496,,,,
W kernel support pred5 [uv-pixels],,7.721931173091222,3.6849535773403113,7.7219302076502885,7.096727667038143,7.77324895455973,31.3086586396496,,,,
AW kernel support pred0 [uv-pixels],(undefined),9.6998401585123,9.002181626911273,9.6998401585123,9.405969717943549,9.45705963740954,14.641680689564549,(undefined),(undefined),(undefined),(undefined)
AW kernel support pred1 [uv-pixels],,10.251421862311215,9.007365783793778,10.251421862311215,9.734008269927765,9.824738080395754,18.086199531143333,,,,
AW kernel support pred2 [uv-pixels],,10.869946915872864,9.017461490926777,10.869946915872864,10.109471139956952,10.243966984765175,21.478160374683213,,,,
AW kernel support pred3 [uv-pixels],,11.85867703590742,9.058875761487977,11.858676407248073,10.956432813915521,11.184314434055091,27.999802738497003,,,,
AW kernel support pred4 [uv-pixels],,11.85867703590742,9.270138473055447,11.858676407248073,11.461393614220945,11.892157050323709,32.57655761148046,,,,
AW kernel support pred5 [uv-pixels],,11.85867703590742,9.725167498154114,11.858676407248073,11.461393614220945,11.892157050323709,32.57655761148046,,,,
W kernel support bw0 [uv-pixels],(undefined),3.6175819411159043,0.19817679959798246,3.6175819411159043,2.7335446465845523,2.9044753373923915,11.548974561196653,(undefined),(undefined),(undefined),(undefined)
W kernel support bw1 [uv-pixels],,4.9083245816747185,0.3641955011513907,4.9083245816747185,3.708222889609272,3.9402383618733556,15.687912974016948,,,,
W kernel support bw2 [uv-pixels],,6.095551324851101,0.560902612177335,6.095551324851101,4.604498531829768,4.892735388814615,19.501573605240477,,,,
W kernel support bw3 [uv-pixels],,7.721931173091222,1.0311304777157906,7.7219302076502885,6.248473414030405,6.639946487722098,26.513938851003342,,,,
W kernel support bw4 [uv-pixels],,7.721931173091222,2.2215911661740946,7.7219302076502885,7.096727667038143,7.77324895455973,31.3086586396496,,,,
W kernel support bw5 [uv-pixels],,7.721931173091222,3.6849535773403113,7.7219302076502885,7.096727667038143,7.77324895455973,31.3086586396496,,,,
AW kernel support bw0 [uv-pixels],(undefined),9.6998401585123,9.002181626911273,9.6998401585123,9.405969717943549,9.45705963740954,14.641680689564549,(undefined),(undefined),(undefined),(undefined)
AW kernel support bw1 [uv-pixels],,10.251421862311215,9.007365783793778,10.251421862311215,9.734008269927765,9.824738080395754,18.086199531143333,,,,
AW kernel support bw2 [uv-pixels],,10.869946915872864,9.017461490926777,10.869946915872864,10.109471139956952,10.243966984765175,21.478160374683213,,,,
AW kernel support bw3 [uv-pixels],,11.85867703590742,9.058875761487977,11.858676407248073,10.956432813915521,11.184314434055091,27.999802738497003,,,,
AW kernel support bw4 [uv-pixels],,11.85867703590742,9.270138473055447,11.858676407248073,11.461393614220945,11.892157050323709,32.57655761148046,,,,
AW kernel support bw5 [uv-pixels],,11.85867703590742,9.725167498154114,11.858676407248073,11.461393614220945,11.892157050323709,32.57655761148046,,,,
-- Data --,,,,,,,,,,,
Snapshot vis size0 [GB],0.12628867342719396,69.09942514873335,0.03576543712503932,69.09942514873335,1.8956421821792098,3.199111618283294,0.25138129407647797,2.4371111792501714,3992.962956083481,(undefined),1.6398761414161236
Snapshot vis size1 [GB],0.010630682823254953,5.816626717905279,0.003010650185747291,5.816626717905279,0.1595706902151266,0.2692936746205175,0.021160684743173282,0.20515027395987012,336.11820885585126,,0.1380409078322309
Snapshot vis size2 [GB],0.005907119647883779,3.2321075269578645,0.0016729189611629765,3.2321075269578645,0.08866816695294269,0.14963760868886664,0.011758294240106087,0.11399523758023662,186.7697972514597,,0.07670477733412563
Snapshot vis size3 [GB],0.010268152026501736,5.618266334709066,0.0029079800723848083,5.618266334709066,0.15412896173691415,0.26011013937222516,0.02043905660062304,0.19815417657747825,324.6558029045404,,0.13333339457715732
Snapshot vis size4 [GB],0.013019121094738578,7.1234716398126965,0.0036870650732235798,7.1234716398126965,0.19542207905377612,0.3297969677227349,0.025914940902602168,0.25124221122087453,411.63523886428084,,0.16905511386005162
Snapshot vis size5 [GB],0.009543090412415281,5.221545557056189,0.002702639839831502,5.221545557056189,0.14324550447157508,0.2417430683543128,0.018995800274557422,0.1841619814155425,301.7309903512248,,0.12391836779977565
Snapshot vis size6 [GB],,,,,,,,0.22778470753199823,373.2024648204259,,0.15327109835674405
Snapshot vis size7 [GB],,,,,,,,0.21852516663353272,358.03163301238004,,0.14704056594232534
Snapshot vis size8 [GB],,,,,,,,0.07160711683747924,117.321100226526,,0.04818278437896618
Snapshot vis size9 [GB],,,,,,,,0.057614921675543475,94.39628767321044,,0.03876775760158451
Snapshot vis size10 [GB],,,,,,,,0.004321119125665762,7.079721575490785,,0.002907581820118839
Snapshot vis size11 [GB],,,,,,,,0.001851908191607658,3.034166381129987,,0.0012461064909007737
Facet size [GB],(undefined),1.2209347292135506,2.0516392912024672,1.2209347292135506,0.8218391648784115,0.9118396849788746,5.698998031117966,(undefined),(undefined),(undefined),(undefined)
Image size [GB],5.698998031117965,41.54569564684997,2.0516392912024672,41.54569564684997,5.1364947804900725,5.698998031117965,5.698998031117965,95.35215246644535,695.1171914803865,(undefined),34.32677488792033
Image cube size [GB],1493958.1398693877,6647.311303495995,164.1311432961974,6647.311303495995,410.9195824392058,1823.6793699577488,273551.9054936623,24995994.65616385,111218.75063686185,(undefined),2746.1419910336263
Calibration output [GB],0.0,0.73728,0.0,0.228352,0.0,0.0,0.0,0.0,0.1815552,(undefined),0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,10,600,600
Calibration process in [MB],0.0,16.22391544309466,0.0,470.49354784974514,0.0,0.0,0.0,0.0,37.06752,(undefined),0.0
Calibration process out [MB],0.0,0.256,0.0,7.424,0.0,0.0,0.0,0.0,0.25216,(undefined),0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.0038886771125451586,0.00048077591145387073,0.08534819451402266,8.890436928544029,(undefined),(undefined),(undefined),(undefined)
Working (cache) memory [TeraBytes],(undefined),0.0001848263141305024,4.099076341563482e-07,0.00018482624480631546,2.6351592883937995e-05,3.462901866189713e-05,0.000251410451567073,(undefined),(undefined),(undefined),(undefined)
-- I/O --,,,,,,,,,,,
Input Buffer Size [PetaBytes],0.5656472540059049,0.5656472540059049,0.3662519660440314,0.5656472540059049,0.2755705312856846,0.28282362700295244,0.5154132316193418,0.26293342793142854,1.5776005675885711,0.001587864,0.00021911118994285712
Total buffer ingest rate [TeraBytes/s],0.019640529652982807,0.019640529652982807,0.012717082154306645,0.019640529652982807,0.009568421225197382,0.009820264826491404,0.017896292764560482,0.4382223798857142,0.4382223798857142,(undefined),0.2191111899428571
Output size [TB],0.0,0.0,0.0,0.0,0.02210829537439414,0.9457893001300076,120.63639032270507,0.0,0.0,0.1722864,0.0
Buffer Read Rate [TeraBytes/s],0.019186411048357974,0.012814859056689925,0.003979735300591158,0.06407429528344961,0.01054671033843818,0.014239017846534238,0.16783203400201915,0.4337958912,0.4337958912,0.00264644,0.10689378389640418
Facet visibility rate [TeraBytes/s],0.0,2.5956784077373348e-05,0.00016242834468835468,0.00023361105669636017,8.040805806645097e-05,0.00010809058159124339,0.016974416002132085,0.0,0.0,(undefined),0.0
Image Write Rate [TeraBytes/s],0.0,0.015953547128390394,0.16413114329619738,0.14358192415551357,0.054241384881975156,0.048145135366884584,5.015118267383811,0.0,0.0,(undefined),0.0
-- Compute --,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.027056844849193348,0.01836028880762596,0.0097747057384042,0.16558437287689262,0.04072984562401792,0.05142274410418122,0.7771586740624945,0.6036604152474057,0.00144628435712,0.00050088,0.0
-> Reprojection Predict [PetaFLOP/s],,0.0004985483477621999,,0.004486935129859799,0.0003390086555123447,0.0003009070960430286,0.00026120407642624013,,0.0,,
-> Phase Rotation Predict [PetaFLOP/s],,0.0007325827760741072,0.0,0.006593244984666965,0.0010151208700746744,0.00027410109354578403,0.0,,0.0,,0.0
-> Reprojection [PetaFLOP/s],,9.970966955243998e-05,,0.0008973870259719599,0.0003390086555123447,0.0003009070960430286,0.031344489171148814,,0.0,,
-> Source Find [PetaFLOP/s],,,,1.875e-12,,,,,,,
-> Identify Component [PetaFLOP/s],,,,0.0002572602698505135,5.80529774536587e-06,0.0009294663928342298,0.016039635107732268,,,,
-> Solve [PetaFLOP/s],,2.143489842781654e-05,,0.0002564456611337985,,,,,0.00144628435712,,
-> Phase Rotation [PetaFLOP/s],,0.0007325827760741072,0.0,0.006593244984666965,0.00020302417401493487,0.00027410109354578403,0.0,,0.0,,0.0
-> Correct [PetaFLOP/s],,1.7086478742253233e-05,1.3265784335303857e-06,0.0001537783086802791,2.5780847493959983e-05,3.4806488069305916e-05,0.0004102560831160469,,0.0,,0.0
-> Visibility Weighting [PetaFLOP/s],,1.6958432263883917e-06,2.1657112625113955e-07,1.5262589037495528e-05,9.648966967974116e-07,1.2970869790949206e-06,2.2632554669509446e-05,,0.0,,0.0
-> FFT [PetaFLOP/s],,0.0003465720630906665,0.00143276910858338,0.0031191490851842584,0.0008889851438689556,0.0007622861130675865,0.08638511680519637,,0.0,,0.0
-> Receive [PetaFLOP/s],6.559457623344957e-06,,,,,,,0.0001461304123428571,,,
-> IFFT [PetaFLOP/s],,0.0017328603154533324,0.00143276910858338,0.015595745425921292,0.0008889851438689556,0.0007622861130675865,0.0007198759733766364,,0.0,,0.0
-> Demix [PetaFLOP/s],0.026582186101507248,,,,,,,0.5930699847811198,,,
-> Average [PetaFLOP/s],1.309368643532187e-05,,,,,,,0.00029214825325714285,,,
-> Flag [PetaFLOP/s],0.000455005603627435,0.00014897273653402036,4.62644228693722e-05,0.0013407546288061831,0.00022477676408796365,0.000303469067854261,0.0035769202246680332,0.010152151800685712,0.0,,0.0
-> Grid [PetaFLOP/s],,0.00045120087160544967,9.387492481325242e-06,0.004060807470578911,0.0011793537744575935,0.00033796659981617967,0.030613263078972268,,0.0,,0.0
-> Subtract Image Component [PetaFLOP/s],,,,2.098176125e-05,1.2822187430555555e-06,0.0002051549988888889,0.030773249833333332,,,,
-> DFT [PetaFLOP/s],,0.010991263321798804,0.006826812288196039,0.09892136989618927,0.033168224739544346,0.04478011899909344,0.527812980886149,,0.0,,0.0
-> Subtract Visibility [PetaFLOP/s],,1.067904921390827e-06,3.3164460838259643e-07,9.611144292517443e-06,1.611302968372499e-06,2.1754055043316198e-06,2.5641005194752927e-05,,0.0,,0.0
-> Gridding Kernel Update [PetaFLOP/s],,0.0010667549663787666,7.72051552060762e-06,0.009600793519174228,0.0006342796824853299,0.0009078669300062606,0.009280073091769469,,0.0,,0.0
-> Degrid [PetaFLOP/s],,0.00045120087160544967,9.387492481325242e-06,0.004060807470578911,0.0011793537744575935,0.00033796659981617967,0.030613263078972268,,0.0,,0.0
-> Degridding Kernel Update [PetaFLOP/s],,0.0010667549663787666,7.72051552060762e-06,0.009600793519174228,0.0006342796824853299,0.0009078669300062606,0.009280073091769469,,0.0,,0.0
