,hpso01 (Ingest) [] [Bmax=65000],hpso01 (RCAL) [] [Bmax=65000],hpso01 (FastImg) [] [Bmax=65000],hpso01 (ICAL) [] [Bmax=65000],hpso01 (DPrepA) [] [Bmax=65000],hpso01 (DPrepB) [] [Bmax=65000],hpso01 (DPrepC) [] [Bmax=65000],hpso01 (DPrepD) [] [Bmax=65000],hpso02a (Ingest) [] [Bmax=65000],hpso02a (RCAL) [] [Bmax=65000],hpso02a (FastImg) [] [Bmax=65000],hpso02a (ICAL) [] [Bmax=65000],hpso02a (DPrepA) [] [Bmax=65000],hpso02a (DPrepB) [] [Bmax=65000],hpso02a (DPrepC) [] [Bmax=65000],hpso02a (DPrepD) [] [Bmax=65000],hpso02b (Ingest) [] [Bmax=65000],hpso02b (RCAL) [] [Bmax=65000],hpso02b (FastImg) [] [Bmax=65000],hpso02b (ICAL) [] [Bmax=65000],hpso02b (DPrepA) [] [Bmax=65000],hpso02b (DPrepB) [] [Bmax=65000],hpso02b (DPrepC) [] [Bmax=65000],hpso02b (DPrepD) [] [Bmax=65000],hpso04a (Ingest) [] [Bmax=65000],hpso04a (RCAL) [] [Bmax=65000],hpso04a (FastImg) [] [Bmax=65000],hpso04a (PSS) [] [Bmax=65000],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [] [Bmax=65000],hpso05a (RCAL) [] [Bmax=65000],hpso05a (FastImg) [] [Bmax=65000],hpso05a (PST) [] [Bmax=65000],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [] [Bmax=65000],max_low (RCAL) [] [Bmax=65000],max_low (FastImg) [] [Bmax=65000],max_low (ICAL) [] [Bmax=65000],max_low (DPrepA) [] [Bmax=65000],max_low (DPrepA_Image) [] [Bmax=65000],max_low (DPrepB) [] [Bmax=65000],max_low (DPrepC) [] [Bmax=65000],max_low (DPrepD) [] [Bmax=65000],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Max # of channels,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,40000,40000,40000,40000,40000,40000,40000,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,20.0,20.0,20.0,20.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],2.8481691173907038,2.8481691173907038,1.0,2.8481691173907038,2.8481691173907038,2.8481691173907038,1.4653709216372819,1.4653709216372819,2.8481691173907038,2.8481691173907038,1.0,2.8481691173907038,2.8481691173907038,2.8481691173907038,1.4653709216372819,1.4653709216372819,2.8481691173907038,2.8481691173907038,1.0,2.8481691173907038,2.8481691173907038,2.8481691173907038,1.4653709216372819,1.4653709216372819,2.840810784531732,2.840810784531732,1.0,9.375,0.3052021248598773,0.3052021248598773,0.23568029642058258,9.375,0.3013556043373455,0.3013556043373455,0.23270997274621638,9.375,2.840810784531732,2.840810784531732,1.0,(undefined),0.30280190609093655,0.30280190609093655,0.23382682219854717,(undefined),1.3114902696684394,1.3114902696684394,1.0,1.3114902696684394,1.3114902696684394,1.3114902696684394,0.7196564078910788,1.800886568299761,1.800886568299761,1.0,1.800886568299761,1.800886568299761,1.800886568299761,1.0646556121308268,3.0633702617821275,3.0633702617821275,1.0,3.0633702617821275,3.0633702617821275,3.0633702617821275,1.8349364458733355,0.3052021248598773,0.3052021248598773,0.23568029642058258,10,0.3032266027844621,0.3032266027844621,0.23415477745988392,0.3032266027844621,0.3032266027844621,0.3032266027844621,1.4694265721101762,1.4694265721101762,1.0,1.4694265721101762,1.4694265721101762,1.4694265721101762,2.193871678062254,2.193871678062254,1.0,2.193871678062254,2.193871678062254,0.36735664302754406,0.36735664302754406,0.2836766702084766,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.2836766702084766,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.2836766702084766,0.36735664302754406,0.36735664302754406,0.36735664302754406,0.29972050370048725,0.29972050370048725,0.23144733080704524,0.29972050370048725,0.29972050370048725,0.29972050370048725,0.29972050370048725,0.29972050370048725,0.23144733080704524,0.29972050370048725,0.29972050370048725,0.29972050370048725,2.847132156917496,2.847132156917496,1.0,2.847132156917496,2.847132156917496,2.847132156917496,2.847132156917496,1.4648374098752706,1.4648374098752706,0.2925162237416338,0.2925162237416338,0.22588410991866192,0.2925162237416338,0.2925162237416338,0.2925162237416338,0.2925162237416338,0.16051295209455654,0.16051295209455654,0.30280190609093655,0.30280190609093655,0.23382682219854717,0.30280190609093655,0.30280190609093655,0.30280190609093655,0.30280190609093655,0.16615703301791654,0.16615703301791654,0.3010682691570393,0.3010682691570393,0.23248808949262598,0.3010682691570393,0.3010682691570393,0.3010682691570393,0.3010682691570393,0.16520573131382446,0.16520573131382446,0.30759069702539976,0.30759069702539976,0.23752477701274993,0.30759069702539976,0.30759069702539976,0.30759069702539976,0.30759069702539976,0.1687847948562933,0.1687847948562933,0.2941828042682156,0.2941828042682156,0.2271710609603491,0.2941828042682156,0.2941828042682156,0.2941828042682156,0.2941828042682156,0.1614274578159938,0.1614274578159938,0.30713167608962305,0.30713167608962305,0.2371703162099073,0.30713167608962305,0.30713167608962305,0.30713167608962305,0.30713167608962305,0.16853291547493016,0.16853291547493016
Observation Time [s],18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2400.0,2400.0,2400.0,2400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2400.0,2400.0,2400.0,2400.0,900.0,900.0,900.0,900.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,60.0,60.0,60.0,60.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,444.0,444.0,444.0,444.0,444.0,444.0,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,28800.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Pointing Time [s],7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,72000.0,2400.0,2400.0,2400.0,2400.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,2400.0,2400.0,2400.0,2400.0,900.0,900.0,900.0,900.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,720000.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,60.0,60.0,60.0,60.0,2160000.0,2160000.0,2160000.0,2160000.0,2160000.0,2160000.0,444.0,444.0,444.0,444.0,444.0,444.0,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,7920.000000000001,13680.0,13680.0,13680.0,13680.0,13680.0,13680.0,342000.0,342000.0,342000.0,342000.0,342000.0,342000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,59039.99999999999,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Total Time [s],18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,45900000.0,45900000.0,45900000.0,45900000.0,2880000.0,2880000.0,2880000.0,2880000.0,8640000.0,8640000.0,8640000.0,8640000.0,15480000.0,15480000.0,15480000.0,15480000.0,5760000.0,5760000.0,5760000.0,5760000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,45360000.0,36000000.0,36000000.0,36000000.0,36000000.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,36000000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,7200000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,600,600,600,1.0,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),13.0,1.0,(undefined),(undefined),13.0,1.0,(undefined),(undefined),1.0,1.0,(undefined),(undefined),10.0,1.0,(undefined),(undefined),7.0,1.0,7.0,1.0,1.0,1.0,(undefined),3.0,1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),13.0,1.0,(undefined),(undefined),6.0,1.0,6.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,(undefined),10.0,1.0,7.0,1.0,5.0,(undefined),10.0,1.0,10.0,1.0,5.0,(undefined),10.0,1.0,10.0,1.0,5.0,(undefined),8.0,1.0,5.0,1.0,1.0,(undefined),8.0,1.0,8.0,1.0,1.0,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),11.0,1.0,11.0,4.0,4.0,5.0,6.0,(undefined),(undefined),10.0,1.0,10.0,4.0,4.0,5.0,4.0,(undefined),(undefined),8.0,1.0,8.0,1.0,3.0,3.0,1.0,(undefined),(undefined),8.0,1.0,8.0,1.0,1.0,1.0,1.0,(undefined),(undefined),6.0,1.0,6.0,1.0,1.0,1.0,1.0,(undefined),(undefined),3.0,1.0,3.0,1.0,1.0,1.0,1.0,(undefined)
w-stacking planes,(undefined),68.82798725394916,1.0000002438684035,68.82798725401965,40.469409913986844,26.223572830890973,28.66455292058236,(undefined),(undefined),68.82798725394916,1.0000002438684035,54.25821625845722,40.469409913986844,26.223572830890973,28.66455292058236,(undefined),(undefined),68.82798725394916,1.0000002438684035,54.25821625845722,40.469409913986844,26.223572830890973,28.66455292058236,(undefined),(undefined),31.190264349821735,1.0000001031271584,(undefined),(undefined),3.7619718942083145,1.0000000211975595,(undefined),(undefined),1.000000029953122,1.0000000226789185,(undefined),(undefined),31.190264349821735,1.0000001031271584,(undefined),(undefined),4.237791185578805,1.0000000223558911,(undefined),(undefined),3.9275765924937245,1.000000101816961,3.9275764280797145,8.516864440021285,6.488575065086135,4.116270956608144,(undefined),6.206900561105799,1.0000000885367342,9.600272588577422,6.258525399201797,3.9025869925527554,2.0082359135087433,(undefined),8.638075125404315,1.0000002493372944,7.142905150540747,4.788231181599289,3.67946539118712,1.6901734624955607,(undefined),3.7619718942083145,1.0000000211975595,(undefined),(undefined),1.0000000184823012,1.0000000241346108,1.0000000184823012,4.003169474204681,1.0000000270224598,(undefined),17.96018993668062,1.0000001019870581,8.80146557711859,9.464898945250106,4.81321833689335,(undefined),35.225909354259905,1.000000418545245,19.447169142248416,11.741732070131691,(undefined),4.285039255909775,1.0000000216768619,4.149296747632516,15.822147354392616,1.0000000243203768,(undefined),4.285039255909775,1.0000000216768619,4.285039260028282,15.822147043702843,1.0000000243203768,(undefined),4.285039255909775,1.0000000216768619,4.285039260028282,15.822147043702843,1.0000000243203768,(undefined),1.000000016327657,1.0000000241039688,1.0000000151998742,4.643277630491775,1.0000000177341237,(undefined),1.000000016327657,1.0000000241039688,1.000000016327657,4.643277630491775,1.0000000177341237,(undefined),106.51708569857715,1.2151111748136154,106.5170856985819,64.79432579284568,62.39924009397903,41.30375475851125,20.90692415137634,(undefined),(undefined),8.936835347266806,1.000000037876369,8.936836167160402,10.741363079275363,9.049985664248736,4.884082649885787,1.0000000297253788,(undefined),(undefined),4.237791185578805,1.0000000223558911,4.237791177717116,4.903124745255735,3.9265681137905335,1.000000029953098,1.00000001942229,(undefined),(undefined),1.0000000155960163,1.0000000239566715,1.0000000155960163,5.908159544797649,1.0000000167417025,1.0000000198451784,1.0000000187602276,(undefined),(undefined),1.0000000158704365,1.0000000240462288,1.0000000158704365,4.677616975881079,3.153473096632204,1.0000000150775785,1.0000000206011657,(undefined),(undefined),1.0000000210357134,1.0000000241307359,1.0000000210357134,3.4547386385761936,1.0000000150884392,1.0000000236377071,1.0000000220451504,(undefined),(undefined),1.0000000201077133,1.0000000242134066,1.0000000201077133,1.0000000150992052,1.0000000234164146,1.000000020302282,1.0000000231353927,(undefined)
w-stacking planes predict,(undefined),68.82798725394916,1.0000002438684035,68.82798725401965,40.469409913986844,26.223572830890973,28.66455292058236,(undefined),(undefined),68.82798725394916,1.0000002438684035,54.25821625845722,40.469409913986844,26.223572830890973,28.66455292058236,(undefined),(undefined),68.82798725394916,1.0000002438684035,54.25821625845722,40.469409913986844,26.223572830890973,28.66455292058236,(undefined),(undefined),31.190264349821735,1.0000001031271584,(undefined),(undefined),3.7619718942083145,1.0000000211975595,(undefined),(undefined),1.000000029953122,1.0000000226789185,(undefined),(undefined),31.190264349821735,1.0000001031271584,(undefined),(undefined),4.237791185578805,1.0000000223558911,(undefined),(undefined),3.9275765924937245,1.000000101816961,3.9275764280797145,8.516864440021285,6.488575065086135,4.116270956608144,(undefined),6.206900561105799,1.0000000885367342,9.600272588577422,6.258525399201797,3.9025869925527554,2.0082359135087433,(undefined),8.638075125404315,1.0000002493372944,7.142905150540747,4.788231181599289,3.67946539118712,1.6901734624955607,(undefined),3.7619718942083145,1.0000000211975595,(undefined),(undefined),1.0000000184823012,1.0000000241346108,1.0000000184823012,4.003169474204681,1.0000000270224598,(undefined),17.96018993668062,1.0000001019870581,8.80146557711859,9.464898945250106,4.81321833689335,(undefined),35.225909354259905,1.000000418545245,19.447169142248416,11.741732070131691,(undefined),4.285039255909775,1.0000000216768619,4.149296747632516,15.822147354392616,1.0000000243203768,(undefined),4.285039255909775,1.0000000216768619,4.285039260028282,15.822147043702843,1.0000000243203768,(undefined),4.285039255909775,1.0000000216768619,4.285039260028282,15.822147043702843,1.0000000243203768,(undefined),1.000000016327657,1.0000000241039688,1.0000000151998742,4.643277630491775,1.0000000177341237,(undefined),1.000000016327657,1.0000000241039688,1.000000016327657,4.643277630491775,1.0000000177341237,(undefined),106.51708569857715,1.2151111748136154,106.5170856985819,64.79432579284568,62.39924009397903,41.30375475851125,20.90692415137634,(undefined),(undefined),8.936835347266806,1.000000037876369,8.936836167160402,10.741363079275363,9.049985664248736,4.884082649885787,1.0000000297253788,(undefined),(undefined),4.237791185578805,1.0000000223558911,4.237791177717116,4.903124745255735,3.9265681137905335,1.000000029953098,1.00000001942229,(undefined),(undefined),1.0000000155960163,1.0000000239566715,1.0000000155960163,5.908159544797649,1.0000000167417025,1.0000000198451784,1.0000000187602276,(undefined),(undefined),1.0000000158704365,1.0000000240462288,1.0000000158704365,4.677616975881079,3.153473096632204,1.0000000150775785,1.0000000206011657,(undefined),(undefined),1.0000000210357134,1.0000000241307359,1.0000000210357134,3.4547386385761936,1.0000000150884392,1.0000000236377071,1.0000000220451504,(undefined),(undefined),1.0000000201077133,1.0000000242134066,1.0000000201077133,1.0000000150992052,1.0000000234164146,1.000000020302282,1.0000000231353927,(undefined)
Stations/antennas,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,306,197,197,197,197,197,197,197,197,306,306,306,306,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
