On-the-fly kernels,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536
Frequencies predict de-grid8,65536.0,3091.5661238519633,12356.212180253136,3091.5661238519633,1740.887497252959,2290.0796227009537,24000.0
Frequencies predict de-grid9,65536.0,3778.5545532288575,15102.010844008662,3778.5545532288575,2127.7308940722924,2798.9599409291745,24000.0
Frequencies predict de-grid10,65536.0,4465.542982529692,17847.80950767937,4465.542982529692,2514.57429080469,3307.8402590364117,24000.0
Frequencies predict de-grid11,65536.0,5152.531411762239,20593.608171231197,5152.531411762239,2901.4176874826626,3816.7205770833043,24000.0
Frequencies total0,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total1,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total2,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total3,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total4,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total5,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total6,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total7,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total8,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total9,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total10,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies total11,65536.0,42936.89501408649,20593.608171231197,42936.89501408649,12088.948355638564,15902.628127072605,28980.596672432974
Frequencies backward kernels0,(undefined),49.32152580773063,62.15987663979345,49.32152580773063,40.0,48.54985316935895,89.29939031696581
Frequencies backward kernels1,,50.39185792667087,62.19560515574235,50.39185792667087,40.0,48.99347962074036,90.85843613817627
Frequencies backward kernels2,,51.632720003469046,62.26518341904197,51.632720003469046,40.0,49.51433727210445,92.67359166221947
Frequencies backward kernels3,,54.48815106516036,62.55060503080913,54.48815106516036,40.0,50.73870030934384,96.87978378385587
Frequencies backward kernels4,,61.13443555905941,64.00659932608862,61.13443555905941,41.42486973256077,53.716307673168785,106.80499314633273
Frequencies backward kernels5,,68.43493845194403,67.14259886247713,68.43493845194403,43.84294712563926,57.16604805958608,117.87860797780185
Frequencies backward kernels6,,83.71647131388961,79.88867878307055,83.71647131388961,49.27865069392381,64.86251791729916,141.45610083633636
Frequencies backward kernels7,,99.09272071833443,101.41367139773389,99.09272071833443,55.13151037743158,73.08321945708771,165.52958914786828
Frequencies backward kernels8,,110.47456707210009,122.48381050658935,110.47456707210009,59.64471172176418,79.38843188790085,183.49361635638337
Frequencies backward kernels9,,125.36891347826587,155.89738476361944,125.36891347826587,65.72376379714228,87.84687947767367,207.12715814772238
Frequencies backward kernels10,,139.92520516774385,194.35556748091562,139.92520516774385,71.80946715024247,96.28467444385787,230.32244576048927
Frequencies backward kernels11,,154.15469539639238,237.10660005518457,154.15469539639238,77.86354593268446,104.65617091015532,253.0642466511236
Frequencies backward grid0,65536.0,171.86527457037138,686.5678535110338,171.86527457037138,96.80303436957776,160.0,24000.0
Frequencies backward grid1,65536.0,257.73883723579485,1029.7926887245121,257.73883723579485,145.15846868936538,190.94828919770725,24000.0
Frequencies backward grid2,65536.0,343.6123953890436,1373.0175228073604,343.6123953890436,193.5138981343635,254.55833502346346,24000.0
Frequencies backward grid3,65536.0,515.3595071815196,2059.467189842739,515.3595071815196,290.2247521464745,381.77842058296557,24000.0
Frequencies backward grid4,65536.0,858.8537253472967,3432.366522554794,858.8537253472967,483.6464543146965,636.2185843884657,24000.0
Frequencies backward grid5,65536.0,1202.3479414487274,4805.265854754485,1202.3479414487274,677.068154251127,890.6587454068706,24000.0
Frequencies backward grid6,65536.0,1889.3363719604429,7551.064518736334,1889.3363719604429,1063.9115522977854,1399.5390651618502,24000.0
Frequencies backward grid7,65536.0,2576.324801720041,10296.863182470935,2576.324801720041,1450.7549495332357,1908.41938390615,24000.0
Frequencies backward grid8,65536.0,3091.5661238519633,12356.212180253136,3091.5661238519633,1740.887497252959,2290.0796227009537,24000.0
Frequencies backward grid9,65536.0,3778.5545532288575,15102.010844008662,3778.5545532288575,2127.7308940722924,2798.9599409291745,24000.0
Frequencies backward grid10,65536.0,4465.542982529692,17847.80950767937,4465.542982529692,2514.57429080469,3307.8402590364117,24000.0
Frequencies backward grid11,65536.0,5152.531411762239,20593.608171231197,5152.531411762239,2901.4176874826626,3816.7205770833043,24000.0
Frequencies backward fft,65536,40,40,40,200,160,24000
Channels out,65536,40,40,40,40,160,24000
-- Visibility --,,,,,,,
Ingest rate [M/s],2363.977142857143,2363.977142857143,2363.977142857143,2363.977142857143,2363.977142857143,2363.977142857143,2363.977142857143
Averaged rate0 [M/s],1421.9216991129142,931.5933641519574,446.81546511387114,931.5933641519574,262.2915342153604,345.0361939515366,628.7863046535028
Averaged rate1 [M/s],119.69401667274303,78.41933330828682,37.611872555531065,78.41933330828682,22.0790830388753,29.04433343783967,52.929748860110976
Averaged rate2 [M/s],66.51001533739694,43.575035796006695,20.899676442274927,43.575035796006695,12.268617867225958,16.13897767084532,29.411314837195302
Averaged rate3 [M/s],115.61217471090411,75.74505322131829,36.32922097504095,75.74505322131829,21.32613539677708,28.053854696497435,51.12472237731273
Averaged rate4 [M/s],146.5861528639765,96.03812036192922,46.06228325514117,96.03812036192922,27.03967943762744,35.56984066122493,64.82168844474042
Averaged rate5 [M/s],107.4484905555097,70.3964928955686,33.763917741247596,70.3964928955686,19.820240069837567,26.07289715758581,47.51466930924911
Averaged rate6 [M/s],132.89997646536972,87.07141627301247,41.761627827357046,87.07141627301247,24.51509020928093,32.24882360573541,58.76954064512197
Averaged rate7 [M/s],127.49753843158149,83.53192782884632,40.064000690559084,83.53192782884632,23.518541833044917,30.937895825112737,56.38053494283577
Averaged rate8 [M/s],41.77885445236539,27.372044180755807,13.128316626509257,27.372044180755807,7.706640836065452,10.137841582199986,18.47497757446719
Averaged rate9 [M/s],33.61517029697097,22.023483855006127,10.563013392715908,22.023483855006127,6.20074550912594,8.156884043288365,14.864924506403575
Averaged rate10 [M/s],2.5211377722728234,1.6517612891254594,0.7922260044536931,1.6517612891254594,0.4650559131844455,0.6117663032466273,1.114869337980268
Averaged rate11 [M/s],1.08048761370914,0.7078976933876064,0.33952542954398557,0.7078976933876064,0.19930967652949436,0.2621855578113484,0.47780114353125214
Predict rate0 [M/s],(undefined),0.052204978718544626,2.085485870893863,0.052204978718544626,0.029404429497391697,0.04860083932514844,7.290125898772266
Predict rate1 [M/s],,0.006590227562536696,0.2633118172533034,0.006590227562536696,0.0037116150268696056,0.004882433287842863,0.8429472703628049
Predict rate2 [M/s],,0.005283625212569957,0.19507931991669497,0.005283625212569957,0.002749459421704465,0.0036167831837985074,0.6245306428166026
Predict rate3 [M/s],,0.02066242335343631,0.5086353649732405,0.02066242335343631,0.008393213178437544,0.011415186338596886,1.6284016495113072
Predict rate4 [M/s],,0.07388544139659854,1.2795445855723382,0.07388544139659854,0.03004958813319495,0.040658497256064435,3.578763497655676
Predict rate5 [M/s],,0.10951611958074789,1.969599009747698,0.10951611958074789,0.04269523689709508,0.0584106065637404,3.5771647690266457
Predict rate6 [M/s],,0.31928095419401786,5.1042495566230635,0.31928095419401786,0.1348436548820597,0.17738219148862402,6.9527749964444245
Predict rate7 [M/s],,0.6265164764776944,10.016057657866092,0.6265164764776944,0.2351985739808665,0.33752271304480735,9.338198615594347
Predict rate8 [M/s],,0.28155101474930805,7.877020115071718,0.28155101474930805,0.11098066004283756,0.16221263163443836,3.824968364169194
Predict rate9 [M/s],,0.3230203114399799,7.746225987976891,0.3230203114399799,0.13642127294610296,0.17945769323107535,4.103414342891965
Predict rate10 [M/s],,0.03435744960621169,0.6865964767782666,0.03435744960621169,0.013819205639940208,0.021208498692071073,0.3077560757168974
Predict rate11 [M/s],,0.021237359503388852,0.33952542954398557,0.021237359503388852,0.007972579634403568,0.012585202967917817,0.19784319098678096
Backward rate0 [M/s],(undefined),0.052204978718544626,2.085485870893863,0.052204978718544626,0.029404429497391697,0.04860083932514844,7.290125898772266
Backward rate1 [M/s],,0.006590227562536696,0.2633118172533034,0.006590227562536696,0.0037116150268696056,0.004882433287842863,0.8429472703628049
Backward rate2 [M/s],,0.005283625212569957,0.19507931991669497,0.005283625212569957,0.002749459421704465,0.0036167831837985074,0.6245306428166026
Backward rate3 [M/s],,0.02066242335343631,0.5086353649732405,0.02066242335343631,0.008393213178437544,0.011415186338596886,1.6284016495113072
Backward rate4 [M/s],,0.07388544139659854,1.2795445855723382,0.07388544139659854,0.03004958813319495,0.040658497256064435,3.578763497655676
Backward rate5 [M/s],,0.10951611958074789,1.969599009747698,0.10951611958074789,0.04269523689709508,0.0584106065637404,3.5771647690266457
Backward rate6 [M/s],,0.31928095419401786,5.1042495566230635,0.31928095419401786,0.1348436548820597,0.17738219148862402,6.9527749964444245
Backward rate7 [M/s],,0.6265164764776944,10.016057657866092,0.6265164764776944,0.2351985739808665,0.33752271304480735,9.338198615594347
Backward rate8 [M/s],,0.28155101474930805,7.877020115071718,0.28155101474930805,0.11098066004283756,0.16221263163443836,3.824968364169194
Backward rate9 [M/s],,0.3230203114399799,7.746225987976891,0.3230203114399799,0.13642127294610296,0.17945769323107535,4.103414342891965
Backward rate10 [M/s],,0.03435744960621169,0.6865964767782666,0.03435744960621169,0.013819205639940208,0.021208498692071073,0.3077560757168974
Backward rate11 [M/s],,0.021237359503388852,0.33952542954398557,0.021237359503388852,0.007972579634403568,0.012585202967917817,0.19784319098678096
-- Kernel Sizes --,,,,,,,
Delta W earth0 [lambda],1.369939810027911,1.369939810027911,1.369939810027911,1.369939810027911,1.4098307776762335,1.369939810027911,1.369939810027911
Delta W earth1 [lambda],3.0823645725627995,3.0823645725627995,3.0823645725627995,3.0823645725627995,3.172119249771525,3.0823645725627995,3.0823645725627995
Delta W earth2 [lambda],5.479759240111644,5.479759240111644,5.479759240111644,5.479759240111644,5.639323110704934,5.479759240111644,5.479759240111644
Delta W earth3 [lambda],12.329458290251198,12.329458290251198,12.329458290251198,12.329458290251198,12.6884769990861,12.329458290251198,12.329458290251198
Delta W earth4 [lambda],34.24849525069777,34.24849525069777,34.24849525069777,34.24849525069777,35.245769441905836,34.24849525069777,34.24849525069777
Delta W earth5 [lambda],67.12705069136763,67.12705069136763,67.12705069136763,67.12705069136763,69.08170810613544,67.12705069136763,67.12705069136763
Delta W earth6 [lambda],165.76271701337723,165.76271701337723,165.76271701337723,165.76271701337723,170.58952409882426,165.76271701337723,165.76271701337723
Delta W earth7 [lambda],308.23645725627995,308.23645725627995,308.23645725627995,308.23645725627995,317.21192497715253,308.23645725627995,308.23645725627995
Delta W earth8 [lambda],443.8604984490431,443.8604984490431,443.8604984490431,443.8604984490431,456.78517196709964,443.8604984490431,443.8604984490431
Delta W earth9 [lambda],663.0508680535089,663.0508680535089,663.0508680535089,663.0508680535089,682.358096395297,663.0508680535089,663.0508680535089
Delta W earth10 [lambda],926.0793115788678,926.0793115788678,926.0793115788678,926.0793115788678,953.0456057091338,926.0793115788678,926.0793115788678
Delta W earth11 [lambda],1232.9458290251198,1232.9458290251198,1232.9458290251198,1232.9458290251198,1268.8476999086101,1232.9458290251198,1232.9458290251198
Delta W snapshot0 [lambda],305.739420311596,305.739420311596,0.5097283131408447,305.739420311596,314.64217737814056,305.739420311596,305.739420311596
Delta W snapshot1 [lambda],458.609130467394,458.609130467394,0.7645924697112669,458.609130467394,471.96326606721084,458.609130467394,458.609130467394
Delta W snapshot2 [lambda],611.478840623192,611.478840623192,1.0194566262816893,611.478840623192,629.2843547562811,611.478840623192,611.478840623192
Delta W snapshot3 [lambda],917.218260934788,917.218260934788,1.5291849394225339,917.218260934788,943.9265321344217,917.218260934788,917.218260934788
Delta W snapshot4 [lambda],1528.69710155798,1528.69710155798,2.5486415657042234,1528.69710155798,1573.2108868907028,1528.69710155798,1528.69710155798
Delta W snapshot5 [lambda],2140.175942181172,2140.175942181172,3.5680981919859125,2140.175942181172,2202.4952416469837,2140.175942181172,2140.175942181172
Delta W snapshot6 [lambda],3363.133623427556,3363.133623427556,5.607011444549291,3363.133623427556,3461.063951159546,3363.133623427556,3363.133623427556
Delta W snapshot7 [lambda],4586.09130467394,4586.09130467394,7.64592469711267,4586.09130467394,4719.632660672109,4586.09130467394,4586.09130467394
Delta W snapshot8 [lambda],5503.309565608728,5503.309565608728,9.175109636535204,5503.309565608728,5663.55919280653,5503.309565608728,5503.309565608728
Delta W snapshot9 [lambda],6726.267246855112,6726.267246855112,11.214022889098581,6726.267246855112,6922.127902319092,6726.267246855112,6726.267246855112
Delta W snapshot10 [lambda],7949.224928101496,7949.224928101496,13.25293614166196,7949.224928101496,8180.696611831654,7949.224928101496,7949.224928101496
Delta W snapshot11 [lambda],9172.18260934788,9172.18260934788,15.29184939422534,9172.18260934788,9439.265321344217,9172.18260934788,9172.18260934788
Delta W max0 [lambda],305.739420311596,305.739420311596,1.369939810027911,305.739420311596,314.64217737814056,305.739420311596,305.739420311596
Delta W max1 [lambda],458.609130467394,458.609130467394,3.0823645725627995,458.609130467394,471.96326606721084,458.609130467394,458.609130467394
Delta W max2 [lambda],611.478840623192,611.478840623192,5.479759240111644,611.478840623192,629.2843547562811,611.478840623192,611.478840623192
Delta W max3 [lambda],917.218260934788,917.218260934788,12.329458290251198,917.218260934788,943.9265321344217,917.218260934788,917.218260934788
Delta W max4 [lambda],1528.69710155798,1528.69710155798,34.24849525069777,1528.69710155798,1573.2108868907028,1528.69710155798,1528.69710155798
Delta W max5 [lambda],2140.175942181172,2140.175942181172,67.12705069136763,2140.175942181172,2202.4952416469837,2140.175942181172,2140.175942181172
Delta W max6 [lambda],3363.133623427556,3363.133623427556,165.76271701337723,3363.133623427556,3461.063951159546,3363.133623427556,3363.133623427556
Delta W max7 [lambda],4586.09130467394,4586.09130467394,308.23645725627995,4586.09130467394,4719.632660672109,4586.09130467394,4586.09130467394
Delta W max8 [lambda],5503.309565608728,5503.309565608728,443.8604984490431,5503.309565608728,5663.55919280653,5503.309565608728,5503.309565608728
Delta W max9 [lambda],6726.267246855112,6726.267246855112,663.0508680535089,6726.267246855112,6922.127902319092,6726.267246855112,6726.267246855112
Delta W max10 [lambda],7949.224928101496,7949.224928101496,926.0793115788678,7949.224928101496,8180.696611831654,7949.224928101496,7949.224928101496
Delta W max11 [lambda],9172.18260934788,9172.18260934788,1232.9458290251198,9172.18260934788,9439.265321344217,9172.18260934788,9172.18260934788
Delta W stack [lambda],(undefined),9172.182334613562,1232.9458024119747,9172.182334613562,9439.265103620663,9172.18236789982,9172.182403906314
Delta W theory [lambda],(undefined),1801.8860916544613,188.70596859434042,1801.8860916544613,3663.978851840237,3284.348828839579,2101.803180207023
-- Kernel Sizes --,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),2.115768059336853,0.19817679959798246,2.115768059336853,1.2685009219476864,1.3477372316088831,1.8846426086111634
W kernel support pred1 [uv-pixels],,2.8697890548563803,0.3641955011513907,2.8697890548563803,1.7202149453632936,1.827705859973768,2.5561589570938312
W kernel support pred2 [uv-pixels],,3.5630174318521033,0.560902612177335,3.5630174318521033,2.135379145772099,2.2688526035686825,3.1734848783489116
W kernel support pred3 [uv-pixels],,4.834242171426663,1.0311304777157906,4.834242171426663,2.8964019519245428,3.077534995909951,4.30540938140691
W kernel support pred4 [uv-pixels],,7.102545981936916,2.2215911661740946,7.102545981936916,4.253481938705262,4.519694839260676,6.324831034595692
W kernel support pred5 [uv-pixels],,9.153278407965596,3.68495385557895,9.153278407965596,5.479558188878513,5.822728433211418,8.1502359385237
W kernel support pred6 [uv-pixels],,12.87426048925806,7.278153003201196,12.87426048925806,7.702433892894795,8.185322798602746,11.461686119845645
W kernel support pred7 [uv-pixels],,16.274589851546978,11.620108233678062,16.274589851546978,9.731928994500777,10.342580141856109,14.487080853361562
W kernel support pred8 [uv-pixels],,18.681081336123928,15.305022503438238,18.681081336123928,11.167283955678858,11.868399720077685,16.627855781482836
W kernel support pred9 [uv-pixels],,21.745831966925397,20.73432819600114,21.745831966925397,12.994175271796342,13.810550668950915,19.35379595095599
W kernel support pred10 [uv-pixels],,24.68001566187016,26.707967818040682,24.68001566187016,14.742159862983646,15.66893403255919,21.963195128554492
W kernel support pred11 [uv-pixels],,27.50870166648155,33.188053013240804,27.50870166648155,16.42634984882807,17.45959700212872,24.478415280571504
AW kernel support pred0 [uv-pixels],(undefined),9.245348802555263,9.002181626911273,9.245348802555263,9.088954537733267,9.100351402306659,9.195209500723337
AW kernel support pred1 [uv-pixels],,9.446464376652964,9.007365783793778,9.446464376652964,9.162921993460996,9.183708875535116,9.355957920701174
AW kernel support pred2 [uv-pixels],,9.679622576303375,9.017461490926777,9.679622576303375,9.249856436518265,9.281578105942996,9.543113028415267
AW kernel support pred3 [uv-pixels],,10.216158640702481,9.058875761487977,10.216158640702481,9.454583241323348,9.511636118515597,9.976800586435846
AW kernel support pred4 [uv-pixels],,11.464997140232013,9.270138473055447,11.464997140232013,9.954501926409572,10.071129104526443,11.000158526866093
AW kernel support pred5 [uv-pixels],,12.836763829475448,9.725167603581244,12.836763829475448,10.536866609448255,10.719336099168116,12.141925129632586
AW kernel support pred6 [uv-pixels],,15.708169312344173,11.574606305961623,15.708169312344173,11.845990371193725,12.165504893646045,14.572928625017772
AW kernel support pred7 [uv-pixels],,18.59737279392108,14.697854107399241,18.59737279392108,13.255581539638497,13.710177387281183,17.05507290080682
AW kernel support pred8 [uv-pixels],,20.736026617625612,17.755103881159098,20.736026617625612,14.342532236211374,14.894929067153695,18.90728927926455
AW kernel support pred9 [uv-pixels],,23.534680960951107,22.603370672080917,23.534680960951107,15.806599602512982,16.48427462097318,21.34407219138936
AW kernel support pred10 [uv-pixels],,26.269814865547804,28.18360418700023,26.269814865547804,17.272269029451977,18.069739724652692,23.735668102140284
AW kernel support pred11 [uv-pixels],,28.943542757849887,34.38672509573544,28.943542757849887,18.73032219039742,19.642747452348466,26.080506410883135
W kernel support bw0 [uv-pixels],(undefined),2.115768059336853,0.19817679959798246,2.115768059336853,1.2685009219476864,1.3477372316088831,1.8846426086111634
W kernel support bw1 [uv-pixels],,2.8697890548563803,0.3641955011513907,2.8697890548563803,1.7202149453632936,1.827705859973768,2.5561589570938312
W kernel support bw2 [uv-pixels],,3.5630174318521033,0.560902612177335,3.5630174318521033,2.135379145772099,2.2688526035686825,3.1734848783489116
W kernel support bw3 [uv-pixels],,4.834242171426663,1.0311304777157906,4.834242171426663,2.8964019519245428,3.077534995909951,4.30540938140691
W kernel support bw4 [uv-pixels],,7.102545981936916,2.2215911661740946,7.102545981936916,4.253481938705262,4.519694839260676,6.324831034595692
W kernel support bw5 [uv-pixels],,9.153278407965596,3.68495385557895,9.153278407965596,5.479558188878513,5.822728433211418,8.1502359385237
W kernel support bw6 [uv-pixels],,12.87426048925806,7.278153003201196,12.87426048925806,7.702433892894795,8.185322798602746,11.461686119845645
W kernel support bw7 [uv-pixels],,16.274589851546978,11.620108233678062,16.274589851546978,9.731928994500777,10.342580141856109,14.487080853361562
W kernel support bw8 [uv-pixels],,18.681081336123928,15.305022503438238,18.681081336123928,11.167283955678858,11.868399720077685,16.627855781482836
W kernel support bw9 [uv-pixels],,21.745831966925397,20.73432819600114,21.745831966925397,12.994175271796342,13.810550668950915,19.35379595095599
W kernel support bw10 [uv-pixels],,24.68001566187016,26.707967818040682,24.68001566187016,14.742159862983646,15.66893403255919,21.963195128554492
W kernel support bw11 [uv-pixels],,27.50870166648155,33.188053013240804,27.50870166648155,16.42634984882807,17.45959700212872,24.478415280571504
AW kernel support bw0 [uv-pixels],(undefined),9.245348802555263,9.002181626911273,9.245348802555263,9.088954537733267,9.100351402306659,9.195209500723337
AW kernel support bw1 [uv-pixels],,9.446464376652964,9.007365783793778,9.446464376652964,9.162921993460996,9.183708875535116,9.355957920701174
AW kernel support bw2 [uv-pixels],,9.679622576303375,9.017461490926777,9.679622576303375,9.249856436518265,9.281578105942996,9.543113028415267
AW kernel support bw3 [uv-pixels],,10.216158640702481,9.058875761487977,10.216158640702481,9.454583241323348,9.511636118515597,9.976800586435846
AW kernel support bw4 [uv-pixels],,11.464997140232013,9.270138473055447,11.464997140232013,9.954501926409572,10.071129104526443,11.000158526866093
AW kernel support bw5 [uv-pixels],,12.836763829475448,9.725167603581244,12.836763829475448,10.536866609448255,10.719336099168116,12.141925129632586
AW kernel support bw6 [uv-pixels],,15.708169312344173,11.574606305961623,15.708169312344173,11.845990371193725,12.165504893646045,14.572928625017772
AW kernel support bw7 [uv-pixels],,18.59737279392108,14.697854107399241,18.59737279392108,13.255581539638497,13.710177387281183,17.05507290080682
AW kernel support bw8 [uv-pixels],,20.736026617625612,17.755103881159098,20.736026617625612,14.342532236211374,14.894929067153695,18.90728927926455
AW kernel support bw9 [uv-pixels],,23.534680960951107,22.603370672080917,23.534680960951107,15.806599602512982,16.48427462097318,21.34407219138936
AW kernel support bw10 [uv-pixels],,26.269814865547804,28.18360418700023,26.269814865547804,17.272269029451977,18.069739724652692,23.735668102140284
AW kernel support bw11 [uv-pixels],,28.943542757849887,34.38672509573544,28.943542757849887,18.73032219039742,19.642747452348466,26.080506410883135
-- Data --,,,,,,,
Snapshot vis size0 [GB],0.62486793418048,670.7472221894095,0.26808927906832275,670.7472221894095,18.884990463505947,31.053257455638295,0.3772717827921018
Snapshot vis size1 [GB],0.05259990967063903,56.46191998196653,0.022567123533318644,56.46191998196653,1.5896939787990216,2.613990009405571,0.031757849316066594
Snapshot vis size2 [GB],0.029228034083817016,31.374025773124828,0.01253980586536496,31.374025773124828,0.883340486440269,1.452507990376079,0.017646788902317186
Snapshot vis size3 [GB],0.05080613146475279,54.53643831934918,0.021797532585024572,54.53643831934918,1.5354817485679497,2.5248469226847696,0.030674833426387643
Snapshot vis size4 [GB],0.06441774295780218,69.14744666058905,0.027637369953084707,69.14744666058905,1.9468569195091756,3.201285659510244,0.038893013066844256
Snapshot vis size5 [GB],0.047218574951151726,50.68547488480941,0.02025835064474856,50.68547488480941,1.4270572850283048,2.346560744182723,0.028508801585549474
Snapshot vis size6 [GB],0.05840330997013318,62.691419716568994,0.025056976696414233,62.691419716568994,1.765086495068227,2.9023941245161873,0.035261724387073194
Snapshot vis size7 [GB],0.05602919169356609,60.14298803676937,0.024038400414335456,60.14298803676937,1.693335011979234,2.7844106242601465,0.03382832096570147
Snapshot vis size8 [GB],0.018359848148012135,19.707871810144187,0.007876989975905555,19.707871810144187,0.5548781401967124,0.9124057423979989,0.011084986544680315
Snapshot vis size9 [GB],0.014772291634411076,15.856908375604414,0.006337808035629546,15.856908375604414,0.44645367665706764,0.7341195638959529,0.008918954703842148
Snapshot vis size10 [GB],0.0011079218725808307,1.1892681281703312,0.0004753356026722159,1.1892681281703312,0.033484025749280076,0.05505896729219647,0.000668921602788161
Snapshot vis size11 [GB],0.0004748236583682744,0.5096863392390768,0.00020371525772639137,0.5096863392390768,0.014350296710123594,0.023596700203021355,0.0002866806861187513
Facet size [GB],(undefined),10.98841256292195,37.68317065473918,10.98841256292195,5.4342018249103115,6.02930730475827,9.420792663684795
Image size [GB],104.67547404094219,763.0842057584689,37.683170654739186,763.0842057584689,94.3437816824707,104.67547404094219,104.67547404094219
Image cube size [GB],27440047.46698875,122093.47292135502,3014.653652379135,122093.47292135502,7547.502534597656,33496.1516931015,5024422.753965225
Calibration output [GB],0.0,0.73728,0.0,0.228352,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600
Calibration process in [MB],0.0,19.008,0.0,551.232,0.0,0.0,0.0
Calibration process out [MB],0.0,0.256,0.0,7.424,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.07142468165899268,0.008830577965479258,1.5676198992371502,235.14298488557247
Working (cache) memory [TeraBytes],(undefined),0.017052977687188577,0.00029945755135340953,0.017052977687188577,0.000907722617772547,0.0010900153100020238,0.0019224711069815408
-- I/O --,,,,,,,
Input Buffer Size [PetaBytes],3.267962002285714,3.267962002285714,1.633981001142857,3.267962002285714,1.633981001142857,1.633981001142857,1.633981001142857
Total buffer ingest rate [TeraBytes/s],0.11347090285714286,0.11347090285714286,0.05673545142857143,0.11347090285714286,0.05673545142857143,0.05673545142857143,0.05673545142857143
Output size [TB],0.0,0.0,0.0,0.0,0.406070731366423,17.37164020646953,2605.746030970429
Buffer Read Rate [TeraBytes/s],0.11122395428571426,0.14574008936209928,0.034950295010603795,0.7287004468104963,0.12310003411284524,0.16193419041396215,0.295105275830146
Facet visibility rate [TeraBytes/s],0.0,8.995710632616165e-05,0.000913711948613212,0.000809613956935455,0.0001996472251701586,0.0002792996651317292,0.011158458778882515
Image Write Rate [TeraBytes/s],0.0,0.293024335011252,3.0146536523791347,2.637219015101268,0.9962703345668904,0.8842984046978797,132.64476070468194
-- Compute --,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.15630853560914287,0.21186668644407822,0.11251947248940633,1.9080781538665466,0.4356017569381026,0.5050634596552949,3.4735527572673286
-> Degrid [PetaFLOP/s],,0.008606828364357158,0.00017247110501617796,0.07746145527921443,0.011926396978436353,0.0035700928588097707,0.10821422101446336
-> Reprojection [PetaFLOP/s],,0.001831402093820325,,0.016482618844382922,0.006226689591043066,0.005526865029361747,0.829029754404262
-> Receive [PetaFLOP/s],3.7852205714285724e-05,,,,,,
-> FFT [PetaFLOP/s],,0.0027796347794160443,0.030272023366805175,0.0250167130147444,0.009134373578672144,0.008149181727881368,1.2490660519254329
-> Solve [PetaFLOP/s],,0.00024297694893683213,,0.0029149502672419854,,,
-> Grid [PetaFLOP/s],,0.008606828364357158,0.00017247110501617796,0.07746145527921443,0.011926396978436353,0.0035700928588097707,0.10821422101446336
-> Reprojection Predict [PetaFLOP/s],,0.009157010469101626,,0.08241309422191463,0.006226689591043066,0.005526865029361747,0.006908581286702184
-> Phase Rotation Predict [PetaFLOP/s],,0.01700301042557825,0.0,0.15302709383020424,0.03291216189822599,0.008658981015191034,0.010099158328409444
-> Subtract Image Component [PetaFLOP/s],,,,2.098176125e-05,1.2822187430555555e-06,0.0002051549988888889,0.030773249833333332
-> IFFT [PetaFLOP/s],,0.013898173897080222,0.030272023366805175,0.12508356507372198,0.009134373578672144,0.008149181727881368,0.010408883766045273
-> Flag [PetaFLOP/s],0.002628742582857143,0.0016942285388344043,0.0004062971794982692,0.015248056849509639,0.002623569477030014,0.003451222433197569,0.006289431191129985
-> Phase Rotation [PetaFLOP/s],,0.01700301042557825,0.0,0.15302709383020424,0.006582432379645197,0.008658981015191034,0.010099158328409444
-> Source Find [PetaFLOP/s],,,,1.875e-12,,,
-> Gridding Kernel Update [PetaFLOP/s],,0.012066536230859033,1.8115549630537208e-05,0.10859882607773125,0.004065967443086279,0.005907010688557998,0.023924512043514912
-> Average [PetaFLOP/s],7.564726857142857e-05,,,,,,
-> Subtract Visibility [PetaFLOP/s],,1.2145007446841607e-05,2.9125245842169835e-06,0.00010930506702157445,1.8806949656129134e-05,2.473994575768866e-05,4.5085528251827866e-05
