,ICAL (all_custom_options.yml),ICAL (hpso_max_mid_band1_ICal.yml),DPrepD (hpso01_DPrepD.yml),ICAL (hpso01_ICal.yml)
-- Parameters --,,,,
Observation Name,obs_1,max_mid_band1,hpso01,hpso01
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low
Band,Mid1,Mid1,Low,Low
Total Compute Requirement [PetaFLOP/s],272.6701258304141,11.885250890529196,0.3007418376407202,6.878779923892501
-> Reprojection Predict [PetaFLOP/s],38.87056338480631,0.08778537777771861,,0.002943795081799113
-> Phase Rotation Predict [PetaFLOP/s],3.5102763515903996,0.7378868109312001,,0.0
-> Reprojection [PetaFLOP/s],38.87056338480631,0.017557075555543724,,0.0005887590163598227
-> Source Find [PetaFLOP/s],1.2e-10,2.5e-12,,3e-12
-> Identify Component [PetaFLOP/s],0.039994101062858584,0.0022904150421604774,,8.515362628408296e-05
-> Solve [PetaFLOP/s],0.017353395459328,0.017353395459327996,,0.15702651937643136
-> Phase Rotation [PetaFLOP/s],3.5102763515903996,0.7378868109312001,,0.0
-> Correct [PetaFLOP/s],0.013881468518399996,0.0104111013888,0.23302031003639337,0.26484069368772795
-> Visibility Weighting [PetaFLOP/s],0.07781229062879014,0.002298642010566113,,0.0008086153219643249
-> FFT [PetaFLOP/s],56.23521489896368,0.32970141088515137,,0.15375826362164088
-> IFFT [PetaFLOP/s],56.23521489896368,1.6485070544257567,,0.7687913181082043
-> Flag [PetaFLOP/s],0.12102905364479997,0.0907717902336,0.06772152760432684,0.07696932660299594
-> Subtract Image Component [PetaFLOP/s],0.000537133088,0.00011190272666666667,,0.00033570818
-> Grid [PetaFLOP/s],22.018846071069657,0.6040843026775917,,0.27915415220514744
-> DFT [PetaFLOP/s],7.298412250960457,5.473809188220343,,4.512143417321214
-> Subtract Visibility [PetaFLOP/s],0.0008675917823999997,0.0006506938368,,0.0005517514451827665
-> Gridding Kernel Update [PetaFLOP/s],11.91521856614448,0.7600303078733387,,0.1908141490447009
-> Degrid [PetaFLOP/s],22.018846071069657,0.6040843026775917,,0.27915415220514744
-> Degridding Kernel Update [PetaFLOP/s],11.91521856614448,0.7600303078733387,,0.1908141490447009
